decision,scope,title,authors,year,journal,publisher,doi,landing_url,pdf_url,discovered_in,queries,existing_source_id,existing_title_score,validation_basis
eligible,Iran basins/projects,Investigation of Administrative-Institutional System of Water Management in the Zayandehrud Basin Using Qualitative Method of Grounded Theory,Sajad Enteshari | Hamidreza Safavi,2020,آب و فاضلاب,Water and Wastewater Consulting Engineers Research Development,10.22093/wwj.2019.149029.2749,http://www.wwjournal.ir/article_92018_7c30a546882a36a322edbde33aadeda8.pdf,http://www.wwjournal.ir/article_92018_7c30a546882a36a322edbde33aadeda8.pdf,DOAJ,Zayandehrud,,0.6,resolving DOI
hold,Iran basins/projects,Genome-Wide Analysis of Oceanimonas sp. GK1 Isolated from Gavkhouni Wetland (Iran) Demonstrates Presence of Genes for Virulence and Pathogenicity,Laleh Parsa Yeganeh | Reza Azarbaijani | Hossein Mousavi | Seyed Abolhassan Shahzadeh Fazeli | Mohammad Ali Amoozgar | Ghasem Hosseini Salekdeh,2015,Cell Journal,"Royan Institute (ACECR), Tehran",,http://celljournal.org/web/journal/article/1158/download,http://celljournal.org/web/journal/article/1158/download,DOAJ,Gavkhouni,,0.4424,no resolving DOI or live landing page
eligible,Global interbasin-transfer literature,"Using of Landsat 7 Satellite Images and G.I.S Technic in Study of 
Gavkhuni Playa Paleo Domains",mohamad hosein ramesht | abdolah seif,2004,جغرافیا و توسعه,University of Sistan and Baluchestan,10.22111/gdij.2004.3890,https://gdij.usb.ac.ir/article_3890_908aba1ea59a1734e720a3831cd76008.pdf,https://gdij.usb.ac.ir/article_3890_908aba1ea59a1734e720a3831cd76008.pdf,DOAJ,Gavkhuni,,0.4265,resolving DOI
eligible,Global interbasin-transfer literature,Drought analysis in the Lakes of Iran (Case study: Lake Urmia and Gavkhuni Swamp),Tayebeh Akbari Azirani,2022,Sustainable Earth Trends,Shahid Beheshti University,10.48308/ser.2023.231570.1010,https://sustainearth.sbu.ac.ir/article_103998_66a28fec4cc62d0216c445a224f46687.pdf,https://sustainearth.sbu.ac.ir/article_103998_66a28fec4cc62d0216c445a224f46687.pdf,DOAJ,Gavkhuni,,0.5556,resolving DOI
hold,Global interbasin-transfer literature,"The archaeological landscape of the western Gavkhuni plains, Isfahan Province, Iran, in the Early Bronze Age",Yaser Jebreili | Babak Rafiei-Alavi | Ali Shojaee-Esfahani,2026,Documenta Praehistorica,University of Ljubljana Press (Založba Univerze v Ljubljani),10.4312/dp.53.7,https://journals.uni-lj.si/DocumentaPraehistorica/article/view/23775,https://journals.uni-lj.si/DocumentaPraehistorica/article/view/23775,Crossref | DOAJ,Gavkhuni,,0.4444,no resolving DOI or live landing page
eligible,Iran basins/projects,Evaluating the Efficiency of Tragacanth Coagulant Aid in Removing Colloidal Materials and Suspended Solids Creating Turbidity from Karun River Water,Majid  Farhadi | Afshin Takdastan | Roghayeh Baghbany,2016,Journal of Environmental Health and Sustainable Development,Shahid Sadoughi University of Medical Sciences,,http://jehsd.ssu.ac.ir/browse.php?a_code=A-10-1-1&slc_lang=en&sid=1,http://jehsd.ssu.ac.ir/browse.php?a_code=A-10-1-1&slc_lang=en&sid=1,DOAJ,Karun River,,0.4545,live scholarly landing page
eligible,Iran basins/projects,"Evaluation of Water Quality of the Karun River in Ahvaz, Iran Based on Biological Indicators (Daphnia and Crustaceans)",Abdolkazem Neisi | Mana Ghanbari | Vafa Hamid | Seyedeh Leila Dehghani | Majid Farhadi,2024,"Iranian Journal of Health, Safety and Environment","Iranian Journal of Health, Safety and Environment",,https://ijhse.ir/index.php/IJHSE/article/view/556,https://ijhse.ir/index.php/IJHSE/article/view/556,DOAJ,Karun River,,0.6,live scholarly landing page
eligible,Iran basins/projects,Application of Fluvial-12 model for calculation of maximum deformation in cross sections of tidal rivers (the Karun River in Iran),Arash Adib | Hesam Foladfar | Nastaran Argashi,2019,Acta Scientiarum: Technology,Universidade Estadual de Maringá,10.4025/actascitechnol.v41i1.39539,http://periodicos.uem.br/ojs/index.php/ActaSciTechnol/article/view/39539,http://periodicos.uem.br/ojs/index.php/ActaSciTechnol/article/view/39539,DOAJ,Karun River,,0.5,resolving DOI
eligible,Iran basins/projects,Identifying the threshold of variables affecting flood zones using machine learning technique (Case study:  the downstream region of the Karun River),Mohamad Kazemi | Atefeh Jafarpoor,2024,مدل‌سازی و مدیریت آب و خاک,University of Mohaghegh Ardabili,10.22098/mmws.2023.12285.1220,https://mmws.uma.ac.ir/article_2101_f35dae71998c82430ba02a60d3dfa98f.pdf,https://mmws.uma.ac.ir/article_2101_f35dae71998c82430ba02a60d3dfa98f.pdf,DOAJ,Karun River,,0.425,resolving DOI
hold,Iran basins/projects,Flow and Sediment Assessment in a cut off Meander of karun River using CCHE2D Model,Sajad Zanpour | m sh | Farhad Khamchin | Mohammad Reza Zayeri,2018,مهندسی منابع آب,"Marvdasht Branch, Islamic Azad University",,https://wej.marvdasht.iau.ir/article_3230_f45063e554faa4f6ae8f0c2bfc2650fa.pdf,https://wej.marvdasht.iau.ir/article_3230_f45063e554faa4f6ae8f0c2bfc2650fa.pdf,DOAJ,Karun River,,0.5833,no resolving DOI or live landing page
eligible,Iran basins/projects,Trend analysis of water quality variation of the Karun River using the Mann-Kendall test and geographic information system (GIS),mohammad reza ansari | ashkan yusefi,2024,مدل‌سازی و مدیریت آب و خاک,University of Mohaghegh Ardabili,10.22098/mmws.2023.13312.1322,https://mmws.uma.ac.ir/article_2340_aecd70d250e695477bca664390cb414a.pdf,https://mmws.uma.ac.ir/article_2340_aecd70d250e695477bca664390cb414a.pdf,DOAJ,Karun River,,0.5,resolving DOI
eligible,Iran basins/projects,Environmental Fate of Nutrients in the Karun River Using the AQUATAX Model,Mohsen Davoudi | Azita Koushafar | Fatemeh Karimi Organi | Hosein Fathian | Hadide Maboudi,2025,Journal of Advances in Environmental Health Research,Kurdistan University of Medical Sciences,10.34172/jaehr.1412,https://jaehr.muk.ac.ir/article_230822_fbbb4d6469fabee24e5c30ab8374ea07.pdf,https://jaehr.muk.ac.ir/article_230822_fbbb4d6469fabee24e5c30ab8374ea07.pdf,DOAJ,Karun River,,0.5244,resolving DOI
eligible,Iran basins/projects,"Comparison of the Gen Expression Programming, Nonlinear Time Series and Artificial Neural Network in Estimating the River Daily Flow  (Case Study: The Karun River)",R. Zamani | F. Ahmadi | F. Radmanesh,2015,مجله آب و خاک,Ferdowsi University of Mashhad,10.22067/jsw.v0i0.32553,http://jsw.um.ac.ir/index.php/jsw/article/view/32553,http://jsw.um.ac.ir/index.php/jsw/article/view/32553,DOAJ,Karun River,,0.5,resolving DOI
eligible,Iran basins/projects,"First record of Odonata nymphs from Karun River, south-west Iran",Mehdi Esfandiari | Saber Sadeghi | Amir Khadempour,2014,Iranian Journal of Animal Biosystematics,Ferdowsi University of Mashhad,10.22067/ijab.v10i2.36694,https://ijab.um.ac.ir/article_26990_7d1ff140c4087009ea5b7660361634ed.pdf,https://ijab.um.ac.ir/article_26990_7d1ff140c4087009ea5b7660361634ed.pdf,DOAJ,Karun River,,0.4255,resolving DOI
eligible,Iran basins/projects,"Feeding indices of Planiliza abu (Heckel, 1843) in Karun River, Southwestern Iran",Miaad Jorfipour | Yazdan Keivany | Fatemeh Paykan-Heyrati | Zaniar Ghafoori,2022,Caspian Journal of Environmental Sciences,University of Guilan,10.22124/cjes.2022.5721,https://cjes.guilan.ac.ir/article_5721_00e8c09edc4696bfcd75b61f6b1da069.pdf,https://cjes.guilan.ac.ir/article_5721_00e8c09edc4696bfcd75b61f6b1da069.pdf,DOAJ,Karun River,,0.4615,resolving DOI
eligible,Iran basins/projects,Estimation of Sediment Transport Rate of Karun River (Iran),Navideh Najafpour | Samad Emamgholizadeh | Hasan Torabi Podeh | Amir Hamzeh Haghiabi,2016,Journal of Hydraulic Structures,Shahid Chamran University of Ahvaz,10.22055/jhs.2016.12874,http://jhs.scu.ac.ir/article_12874_403ec32e3a84995e14e75041d7356b0e.pdf,http://jhs.scu.ac.ir/article_12874_403ec32e3a84995e14e75041d7356b0e.pdf,DOAJ,Karun River,,0.4754,resolving DOI
eligible,Iran basins/projects,Evaluation of effect factors on water quality of Karun River in downstream and lake of the Gotvand-e-Olya Dam (SW Iran),M. Jahangiry Fard | H. Amanipoor | S. Battaleb-Looie | K. Ghanemi,2019,Applied Water Science,SpringerOpen,10.1007/s13201-019-1040-7,http://link.springer.com/article/10.1007/s13201-019-1040-7,http://link.springer.com/article/10.1007/s13201-019-1040-7,DOAJ,Karun River,,0.6,resolving DOI
hold,Iran basins/projects,Regional Frequency Analysis of Low Flow in Parts of the Northern Karun River Basin in Chaharmahal and Bakhtiari Province,Afshin Honarbakhsh | Mahbobeh Chogan | Rafat Zare Bidaki | Mehdi Pazhuhesh,2019,محیط زیست و مهندسی آب,Iranian Rainwater Catchment Systems Association,10.22034/jewe.2018.112538.1220,http://www.jewe.ir/article_80029_4c09c767607a53627740f21e4c57faf7.pdf,http://www.jewe.ir/article_80029_4c09c767607a53627740f21e4c57faf7.pdf,DOAJ,Karun River,,0.5,no resolving DOI or live landing page
eligible,Iran basins/projects,"Integrating piecewise and symbolic regression with remote sensing data for spatiotemporal analysis of surface water total dissolved solids in the Karun River, Iran",Javad Zahiri | Mohammad Reza Nikoo | Adell Moradi-Sabzkouhi | Mitra Cheraghi | Nazmi Mat Nawi,2025,Results in Engineering,Elsevier,10.1016/j.rineng.2025.104159,http://www.sciencedirect.com/science/article/pii/S2590123025002476,http://www.sciencedirect.com/science/article/pii/S2590123025002476,DOAJ,Karun River,,0.6,resolving DOI
eligible,Iran basins/projects,Estimating Suspended Sediment Concentration Using Remote Sensing and Artificial Neural Network (Case Study: Karun River),Z. Mollaee | J. Zahiri | S. Jalili | M. R. Ansari | A. Taghizadeh,2018,علوم آب و خاک,Isfahan University of Technology,,http://jstnar.iut.ac.ir/article-1-3421-en.html,http://jstnar.iut.ac.ir/article-1-3421-en.html,DOAJ,Karun River,,0.4409,live scholarly landing page
eligible,Iran basins/projects,Study and Zoning The Karun River Sediment Contamination by alkylphenolic compounds as Endocrine disrupting compounds (EDCs),A.A Babaei | Z Nazari | E Ahmadpour | M Hosseinzadeh,2014,سلامت و محیط,Tehran University of Medical Sciences,,http://ijhe.tums.ac.ir/browse.php?a_code=A-10-25-5092&slc_lang=en&sid=1,http://ijhe.tums.ac.ir/browse.php?a_code=A-10-25-5092&slc_lang=en&sid=1,DOAJ,Karun River,,0.3874,live scholarly landing page
hold,Iran basins/projects,Assessing Annual and Seasonal Precipitation Trends in the Karun River Basin Using Co-Kriging: An Over 60-Year Analysis,Amin Khoramian,2024,Water Harvesting Research,University of Birjand,10.22077/jwhr.2025.8070.1150,https://jwhr.birjand.ac.ir/article_3216_d731eabcd4d5cb7c8787c099e8f0b6b2.pdf,https://jwhr.birjand.ac.ir/article_3216_d731eabcd4d5cb7c8787c099e8f0b6b2.pdf,DOAJ,Karun River,,0.4574,no resolving DOI or live landing page
eligible,Iran basins/projects,Detection of the BK virus in urban wastewater inlets into the Karun River,Parvaneh Bahrami | Afshin Takdastan | Manoochehr Makvandi | Sahand Jorfi | Mohammad Karimi Baba Ahmadi | Abdolkazem Neisi,2025,Iranian Journal of Microbiology,Tehran University of Medical Sciences,10.18502/ijm.v17i6.20371,https://ijm.tums.ac.ir/index.php/ijm/article/view/5292,https://ijm.tums.ac.ir/index.php/ijm/article/view/5292,DOAJ,Karun River,,0.5362,resolving DOI
eligible,Iran basins/projects,Investigating Pareto Front Extreme Policies Using Semi-distributed Simulation Model for Great Karun River Basin,Seyed Mohammad Ashrafi,2019,Journal of Hydraulic Structures,Shahid Chamran University of Ahvaz,10.22055/jhs.2019.14701,https://jhs.scu.ac.ir/article_14701_5ddb12188fe3be1494a0df2ae01a326f.pdf,https://jhs.scu.ac.ir/article_14701_5ddb12188fe3be1494a0df2ae01a326f.pdf,DOAJ,Karun River,,0.4776,resolving DOI
eligible,Iran basins/projects,"Numerical assessment of Karun river influence on salinity intrusion in the Shatt Al-Arab river estuary, northwest of Arabian Gulf",Ali A. Lafta,2022,Applied Water Science,SpringerOpen,10.1007/s13201-022-01640-4,https://doi.org/10.1007/s13201-022-01640-4,https://doi.org/10.1007/s13201-022-01640-4,DOAJ,Karun River,,0.4954,resolving DOI
eligible,Iran basins/projects,Effect of seasonal variability on the development and application of a novel Multimetric Index based on benthic macroinvertebrate communities – A case study from streams in the Karun river basin (Iran),Ali Reza Esmaeili Ofogh | Eisa Ebrahimi Dorche | Sebastian Birk | Andreas Bruder,2023,Ecological Indicators,Elsevier,10.1016/j.ecolind.2022.109843,http://www.sciencedirect.com/science/article/pii/S1470160X22013164,http://www.sciencedirect.com/science/article/pii/S1470160X22013164,DOAJ,Karun River,,0.6923,resolving DOI
hold,Iran basins/projects,"Field Data Gathering in Confluence of the Arvand River and the Karun River, Sediment, Tidal, and CTD Study",Rouhollah Amirabadi | Ahmad Rezaee Mazyak | Ali Ghasemi | Mohammad Reza Khosravi,2020,International Journal of Coastal and Offshore Engineering,Iranian Association of Naval Architecture and Marine Engineering,,http://ijcoe.org/article-1-184-en.html,http://ijcoe.org/article-1-184-en.html,DOAJ,Karun River,,0.4545,no resolving DOI or live landing page
eligible,Iran basins/projects,Investigation of morphology changes in Karun River and its hazards (Case Study: Bandagir to Khorramshahr),Amir Saffati | EzatAllah ghanavati | Hamid Alipour Dezdouli Asl,2023,تحقیقات کاربردی علوم جغرافیایی,Kharazmi University,,http://jgs.khu.ac.ir/article-1-3593-en.pdf,http://jgs.khu.ac.ir/article-1-3593-en.pdf,DOAJ,Karun River,,0.5472,live scholarly landing page
eligible,Iran basins/projects,Two Dimensional Hydraulic Modeling of Karun River,J. Zahiri | M. Ashnavar,2019,علوم آب و خاک,Isfahan University of Technology,,http://jstnar.iut.ac.ir/article-1-3755-en.html,http://jstnar.iut.ac.ir/article-1-3755-en.html,DOAJ,Karun River,,0.4298,live scholarly landing page
eligible,Iran basins/projects,"Heavy metal phytoremediation potential of Vigna radiata (L.) Wilczek for use in contaminated regions of West Karun River, Iran",Sara Rahdarian | Sakineh Mashjoor | Abidina Abba | Akbar Esmaili | Parisa Ziarati | Peymaan Hassibi,2022,Journal of Agriculture and Food Research,Elsevier,10.1016/j.jafr.2022.100373,http://www.sciencedirect.com/science/article/pii/S2666154322001065,http://www.sciencedirect.com/science/article/pii/S2666154322001065,DOAJ,Karun River,,0.5,resolving DOI
eligible,Iran basins/projects,"Comparison of Gene Expression Programming (GEP) and Parametric and Non-parametric Regression Methods in the Prediction of the Mean Daily Discharge of Karun River
 (A case Study: Mollasani Hydrometric Station)",M. Alinezhadi | S. F. Mousavi | Kh. Hosseini,2021,علوم آب و خاک,Isfahan University of Technology,,http://jstnar.iut.ac.ir/article-1-3999-en.html,http://jstnar.iut.ac.ir/article-1-3999-en.html,DOAJ,Karun River,,0.5385,live scholarly landing page
eligible,Iran basins/projects,Estimation of River Discharge Based on Remote Sensing-based geoBAM Algorithm and hydraulic modeling; Karun River Experience,Neda Salahnezhad | Saeed Hedayati Aram | Hosein Alizadeh | Barat Mojaradi | Meysam Fazeli,2026,تحقیقات منابع آب ایران,Iranian Water Resources Association,10.22034/iwrr.2025.527862.2893,https://www.iwrr.ir/article_228904_5f44d7c3c0af4d23e2c84c06f3992a55.pdf,https://www.iwrr.ir/article_228904_5f44d7c3c0af4d23e2c84c06f3992a55.pdf,DOAJ,Karun River,,0.4309,resolving DOI
eligible,Iran basins/projects,"Modeling of qualitative parameters (Electrical conductivity and total dissolved solids) of Karun river at Mollasani, Ahvaz and Farsiat stations using data mining methods",Alireza Mohaghegh | Mahdi Valikhan Anaraki | Saeed Farzin,2020,سلامت و محیط,Tehran University of Medical Sciences,,http://ijhe.tums.ac.ir/article-1-6371-en.html,http://ijhe.tums.ac.ir/article-1-6371-en.html,DOAJ,Karun River,,0.3736,live scholarly landing page
eligible,Iran basins/projects,"Short-Term Effect of Tillage Methods, Residue Levels, and Forward Speeds on Soil-Water Characteristic Curve (SWCC): A Case Study on the Eastern Soils of Karun River, Khuzestan Province, Iran",A. Shojaee | B. Khalilimoghaddam | F. Moradi,2019,Desert,University of Tehran,10.22059/jdesert.2019.76387,https://jdesert.ut.ac.ir/article_76387_22e5839cb91c32e36ba069eaa4fd1052.pdf,https://jdesert.ut.ac.ir/article_76387_22e5839cb91c32e36ba069eaa4fd1052.pdf,DOAJ,Karun River,,0.6154,resolving DOI
eligible,Iran basins/projects,"First record of Petroleuciscus esfahani Coad and Bogutskaya, 2010 (Actinopterygii: Cyprinidae) from the Karun River drainage, Persian Gulf basin, Iran",Arash Jouladeh-Roudbar | Soheil Eagderi | Ali Soleimani,2017,International Journal of Aquatic Biology,University of Tehran,,http://ij-aquaticbiology.com/index.php/ijab/article/view/276,http://ij-aquaticbiology.com/index.php/ijab/article/view/276,DOAJ,Karun River,,0.5,live scholarly landing page
hold,Iran basins/projects,"Distribution and Expansion of Alien Fish Species in the Karun River Basin, Iran",Mojgan Zare Shahraki | Yazdan Keivany | Eisa Ebrahimi Dorche | Karen Blocksom | Andreas Bruder | Joseph Flotemersch | Doru Bănăduc,2023,Fishes,MDPI AG,10.3390/fishes8110538,https://www.mdpi.com/2410-3888/8/11/538,https://www.mdpi.com/2410-3888/8/11/538,DOAJ,Karun River,,0.6154,no resolving DOI or live landing page
eligible,Iran basins/projects,Assessment of Land Use Changes in Ahvaz and Their Impact on the Morphological Changes of the Karun River Using Landsat Time-Series Data,J. Hatamiafkoueieh | M. Shirali | Y. Razoumny,2025,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Copernicus Publications,10.5194/isprs-archives-XLVIII-2-W9-2025-117-2025,https://isprs-archives.copernicus.org/articles/XLVIII-2-W9-2025/117/2025/isprs-archives-XLVIII-2-W9-2025-117-2025.pdf,https://isprs-archives.copernicus.org/articles/XLVIII-2-W9-2025/117/2025/isprs-archives-XLVIII-2-W9-2025-117-2025.pdf,DOAJ,Karun River,,0.5156,resolving DOI
eligible,Iran basins/projects,Determination of the Quality and the Pollution Level of the Surface Sediments of the Karun River in part of the Ahvaz Urban Area,Freidoon Soleimani | Mohammad Reza Gharibreza | Fariborz Soozangar,2021,پژوهش‌های آبخیزداری,Fars Agricultural and Natural Resources Research and Education Center,10.22092/wmrj.2021.354478.1410,https://wmrj.areeo.ac.ir/article_124881_cb874a5323169c22fff5632d0432ca58.pdf,https://wmrj.areeo.ac.ir/article_124881_cb874a5323169c22fff5632d0432ca58.pdf,DOAJ,Karun River,,0.4722,resolving DOI
hold,Iran basins/projects,Monitoring and comparing NDSI changes using MODIS and ETM+ sensor data to estimate snow cover in North Karun Basin,Ali Morshedi | Behrooz Hoseini Boroujeni,2021,مدل‌سازی و مدیریت آب و خاک,University of Mohaghegh Ardabili,10.22098/mmws.2021.9453.1045,http://mmws.uma.ac.ir/article_1376_a71f3528867e481dad9803c18110560f.pdf,http://mmws.uma.ac.ir/article_1376_a71f3528867e481dad9803c18110560f.pdf,DOAJ,Karun Basin,,0.4828,no resolving DOI or live landing page
eligible,Iran basins/projects,Analysis of Dynamic Indices of Torrents in Karun Basin,Mehri Akbari | Hossein Mohammadi | Ali akbar Shamsipour,2014,نشریه جغرافیا و برنامه‌ریزی,University of Tabriz,,https://geoplanning.tabrizu.ac.ir/article_1797_44a5729172ebadecc8192ce7b91f878c.pdf,https://geoplanning.tabrizu.ac.ir/article_1797_44a5729172ebadecc8192ce7b91f878c.pdf,DOAJ,Karun Basin,,0.5,live scholarly landing page
eligible,Iran basins/projects,WATER SALINITY MAPPING OF KARUN BASIN LOCATED IN IRAN USING THE SVR METHOD,M. Ansari | M. Akhoondzadeh,2019,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Copernicus Publications,10.5194/isprs-archives-XLII-4-W18-97-2019,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLII-4-W18/97/2019/isprs-archives-XLII-4-W18-97-2019.pdf,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLII-4-W18/97/2019/isprs-archives-XLII-4-W18-97-2019.pdf,DOAJ,Karun Basin,,0.6,resolving DOI
hold,Iran basins/projects,Evaluation of climate variables impact on Kohrang River discharge (main branch of North Karoun River),بهزاد قربانی | سید علی اصغر هاشمی,2019,مهندسی منابع آب,"Marvdasht Branch, Islamic Azad University",,https://wej.marvdasht.iau.ir/article_3598_3a435c268acb98b02084f837f9751b40.pdf,https://wej.marvdasht.iau.ir/article_3598_3a435c268acb98b02084f837f9751b40.pdf,DOAJ,Karoun River,,0.436,no resolving DOI or live landing page
eligible,Iran basins/projects,"Integrating machine learning and geomorphic indices to assess tectonic geomorphology in the Karoun River Basin, Zagros, SW Iran",Azar Khodabakhshnezhad | Mehran Arian | Mohsen Pourkermani | Ali Akbar Matkan | Abbas Charchi | Pooria Kianoush,2025,Scientific Reports,Nature Portfolio,10.1038/s41598-025-26650-5,https://doi.org/10.1038/s41598-025-26650-5,https://doi.org/10.1038/s41598-025-26650-5,Crossref | DOAJ,Karoun River,,0.5,resolving DOI
eligible,Iran basins/projects,Simulation of Flow Hydraulics and Sediment Load  in River Bends (Case Study: Karoun river),Abdolreza Zahiri,2018,علوم و مهندسی آبیاری,Shahid Chamran University of Ahvaz,10.22055/jise.2018.13611,http://jise.scu.ac.ir/article_13611_654cfa51dbdd079dc43fabdc727572e5.pdf,http://jise.scu.ac.ir/article_13611_654cfa51dbdd079dc43fabdc727572e5.pdf,DOAJ,Karoun River,,0.5238,resolving DOI
eligible,Iran basins/projects,The Chemical Clogging and its Effects on Hydraulic Performance of Different Types of Emitters with Different Flow Rates using Water of Karoun River,Omid Karami | Abdolrahim Hooshmand | Saeid BoroomandNasab,2015,علوم و مهندسی آبیاری,Shahid Chamran University of Ahvaz,10.22055/jise.2015.11476,http://jise.scu.ac.ir/article_11476_b90f2bc3a2456748302c467e21a90f45.pdf,http://jise.scu.ac.ir/article_11476_b90f2bc3a2456748302c467e21a90f45.pdf,DOAJ,Karoun River,,0.4545,resolving DOI
eligible,Iran basins/projects,The water crisis in Gavkhoni watershed and how to adapt it through the establishment of a comprehensive water pricing system (Case Study: The last water supply facility - Koohrang 3rd dam and tunnel),Fariba Rahpou | Hasanali Ghayour | Zohreh Rajabi,2018,مخاطرات محیط طبیعی,University of Sistan and Baluchestan,10.22111/jneh.2017.21610.1303,https://jneh.usb.ac.ir/article_3453_6591f4e37785aeab804a53f0ae0837de.pdf,https://jneh.usb.ac.ir/article_3453_6591f4e37785aeab804a53f0ae0837de.pdf,DOAJ,Koohrang,,0.5,resolving DOI
eligible,Iran basins/projects,Analysis of fundamental factors affecting the development of tourism entrepreneurship using qualitative comparative analysis of fuzzy set (Case study of Koohrang County),Hamid Nazari sarmazeh | Skandar Seidaiy,2021,نشریه جغرافیا و برنامه‌ریزی,University of Tabriz,10.22034/gp.2021.6526.2660,https://geoplanning.tabrizu.ac.ir/article_12421_2923c9f297f10035c03df09189e38a6d.pdf,https://geoplanning.tabrizu.ac.ir/article_12421_2923c9f297f10035c03df09189e38a6d.pdf,DOAJ,Koohrang,,0.3875,resolving DOI
hold,Iran basins/projects,Water Quality Assessment of Beheshtabad River at the intersection of Shalamzar Spring with Koohrang River,Ehsan Fathi | Rasool Zamani-ahmadmahmoodi | Rafat Zare Bidaki,2018,محیط زیست و مهندسی آب,Iranian Rainwater Catchment Systems Association,10.22034/jewe.2018.105969.1200,http://www.jewe.ir/article_68619_77073ef5357b2e998ecdd7ecfd6f268b.pdf,http://www.jewe.ir/article_68619_77073ef5357b2e998ecdd7ecfd6f268b.pdf,DOAJ,Beheshtabad | Koohrang,,0.4516,no resolving DOI or live landing page
eligible,Iran basins/projects,The Analysis of Synoptic Conditions of Flood Occurrence in Heavy Rainfalls (Koohrang County),Manochehr Farajzadeh | Saeed Rajaee Najafabadi,2013,نشریه جغرافیا و برنامه‌ریزی,University of Tabriz,,https://geoplanning.tabrizu.ac.ir/article_573_c8f28362a242d16326be73be04af87ea.pdf,https://geoplanning.tabrizu.ac.ir/article_573_c8f28362a242d16326be73be04af87ea.pdf,DOAJ,Koohrang,,0.4444,live scholarly landing page
eligible,Iran basins/projects,"Generating electricity using pico hydro-based power plant in Koohrang county, Iran: effect of energy storage type",Mehdi Jahangiri | Ahmad Haghani | Heidar Ali Raeisi | Ali Mostafaeipour,2023,"Hydrogen, Fuel Cell & Energy Storage",Iranian Research Organization for Science and Technology (IROST),10.22104/hfe.2024.6680.1287,https://hfe.irost.ir/article_1405_08f5a997d2acd56858fcf4c52e535683.pdf,https://hfe.irost.ir/article_1405_08f5a997d2acd56858fcf4c52e535683.pdf,DOAJ,Koohrang,,0.4057,resolving DOI
eligible,Iran basins/projects,Analysis of the fundamental tourism entrepreneurial factors affecting the sustainable rural development of Koohrang County,Hamid Nazari Sarmazeh | s.skandar seidaiy,2021,جغرافیا و توسعه,University of Sistan and Baluchestan,10.22111/j10.22111.2021.6205,https://gdij.usb.ac.ir/article_6205_f351863a28cc4af9756305b125e4d2a9.pdf,https://gdij.usb.ac.ir/article_6205_f351863a28cc4af9756305b125e4d2a9.pdf,DOAJ,Koohrang,,0.4021,resolving DOI
eligible,Iran basins/projects,Physical Soil Quality Evaluation of a Part of Beheshtabad Sub-basin in Chaharmahal va Bakhtiari Province, | Mahdi Naderi Khorasgani | Razieh Amiri |  | Ahmad Karimi |  | Jahangard Mohammadi | ,2025,علوم آب و خاک,Isfahan University of Technology,10.47176/jwss.29.1.32202,http://jstnar.iut.ac.ir/article-1-4456-en.pdf,http://jstnar.iut.ac.ir/article-1-4456-en.pdf,Crossref | DOAJ,Beheshtabad,,0.4554,resolving DOI
eligible,Iran basins/projects,Evaluation of Water Quality of Beheshtabad Watershed Rivers using Different Methods (with Emphasis on Irrigation),Rasool Zamani-Ahmadmahmoodi | Ehsan Fathi | Samira Bayati | Zeinab Akbari,2022,محیط زیست و توسعه فرابخشی,Research Center for Environment and Sustainable Development (RCESD),10.22034/envj.2022.149131,https://www.envjournal.ir/article_149131_31f9e5f53dd17047019fb00fff7d67b2.pdf,https://www.envjournal.ir/article_149131_31f9e5f53dd17047019fb00fff7d67b2.pdf,DOAJ,Beheshtabad,,0.5455,resolving DOI
eligible,Iran basins/projects,"The Importance of Land Use Suitability for Runoff and Sediment Production in Beheshtabad Basin, Chaharmahal and Bakhtiari Province",D. Ziaei | R. Zare Bidaki | A. A. Besalatpour | A. Malekian,2019,علوم آب و خاک,Isfahan University of Technology,10.47176/jwss.23.4.22251,http://jstnar.iut.ac.ir/article-1-3540-en.html,http://jstnar.iut.ac.ir/article-1-3540-en.html,Crossref | DOAJ,Beheshtabad,,0.4706,resolving DOI
eligible,Iran basins/projects,Age and growth of Rainbow Trout (Oncorhynchus mykiss) in Beheshtabad River of Chaharmahal and Bakhtiari Province,Mosayeb Aalipour | Yazdan Keivany | Eisa Ebrahimi,2020,بوم‌شناسی آبزیان,University of Hormozgan,,http://jae.hormozgan.ac.ir/article-1-590-en.pdf,http://jae.hormozgan.ac.ir/article-1-590-en.pdf,DOAJ,Beheshtabad,,0.4167,live scholarly landing page
eligible,Iran basins/projects,Efficiency of Fuzzy Curve Number on Monthly Runoff Simulation in Beheshtabad Watershed,Kh. Abdollahi | T. tahmasbi | M. Pajouhesh,2022,علوم آب و خاک,Isfahan University of Technology,10.47176/jwss.26.2.40055,http://jstnar.iut.ac.ir/article-1-4191-en.html,http://jstnar.iut.ac.ir/article-1-4191-en.html,Crossref | DOAJ,Beheshtabad,,0.4336,resolving DOI
